radius_km,alpha,fold,period,status,n_train,n_val,macro_spearman,macro_nmae,intercept,beta__tourism_hotel,beta__market_local,beta__commercial_industrial_area,beta__mall_supermarket,beta__transport_hub,beta__parking
1.0,0.1,4,weekend_midday,ok,2073,456,-0.07966558423302009,0.8406409534624188,0.22427262351545457,9.475167308541972e-05,4.676658437342789e-19,0.009019664059738721,0.013383048286887097,0.01513483296721195,4.224403845141894e-05
1.0,0.1,4,weekend_evening,ok,2073,456,-0.0803976998426753,0.7945444442565579,0.25230175034215063,0.00010988782718025161,3.064542223348703e-15,0.012996280773933402,0.008186576197316022,9.112553642601713e-18,0.0008556339715964125
1.0,0.1,5,weekday_morning,ok,1952,577,0.05065806180186136,0.8163873879204964,0.17655454182944885,1.136093418556746e-16,4.267562764227001e-17,0.007210489519410707,0.012578243253192279,0.006700006304568349,0.0045138339986234705
1.0,0.1,5,weekday_evening,ok,1952,577,0.0681616531559677,0.7494163666196297,0.22420113703590322,2.7589849060409946e-13,1.4724472196668264e-15,0.008098395975051584,0.013483670347077762,0.006627322621081356,0.0024931707337612153
1.0,0.1,5,weekend_midday,ok,1952,577,0.04167833571360652,0.7806120453526639,0.2221621806348929,1.4353885390694665e-13,8.85404964935077e-15,0.006535669109986041,0.014825544441808025,0.020493479655194165,0.005328982671205315
1.0,0.1,5,weekend_evening,ok,1952,577,0.04604425723833753,0.7766132398602487,0.25107968550149184,4.3700306544111055e-19,1.0921890407394043e-18,0.008806249237015559,0.014835595997474514,0.007578051577859825,0.003601486495054762
1.0,1.0,1,weekday_morning,ok,2033,496,0.11152950387406077,0.7361090919359595,0.17806296952745518,8.053331104594589e-17,1.40924764700807e-20,0.008047822524795887,0.00802717464995816,0.015873155660950426,5.243131179978333e-29
1.0,1.0,1,weekday_evening,ok,2033,496,0.1377083274914986,0.7362406602434353,0.23060101259199678,0.0004842577631701953,2.386047527853705e-15,0.007255909030530132,0.011658392029605238,0.012788771876185906,8.476368866536522e-29
1.0,1.0,1,weekend_midday,ok,2033,496,0.10123124553225046,0.6915059373325091,0.2213969162963998,3.9809473279213616e-16,0.0014782171094501772,0.0061344966519408075,0.017728081716478244,0.027016796123985738,7.29796537455541e-24
1.0,1.0,1,weekend_evening,ok,2033,496,0.11132416539993226,0.7199540002570874,0.25365866617458954,0.0006405920422678657,0.0005766387994414147,0.008660756458467554,0.012362304566848129,0.011336163605910098,6.781891467926709e-22
1.0,1.0,2,weekday_morning,ok,2007,522,0.0714742374663427,0.7141504110987578,0.17253025421913692,0.0001418451767515798,1.7214232618256398e-14,0.001829132196288982,0.0032852613539906535,0.017818365729523344,0.0027892447542013834
1.0,1.0,2,weekday_evening,ok,2007,522,0.05672888433248955,0.6558200163960348,0.22367745655377885,1.8265013200638457e-06,2.4436391198737837e-28,0.001511227391398941,0.010877827093114653,0.010273664916424341,0.0003792983779826136
1.0,1.0,2,weekend_midday,ok,2007,522,0.05941598431176023,0.7051911183442036,0.21697900648559434,2.272145823172276e-17,1.457210867819115e-23,3.243995328254982e-23,0.015608310622075294,0.02593745546370304,0.0021304777132688064
1.0,1.0,2,weekend_evening,ok,2007,522,0.05962799173366894,0.6728031885707787,0.24552776292218595,7.781606583400464e-12,3.175020117306273e-19,0.0032304879024548754,0.010120508244744107,0.011458941411974443,0.002715920898758981
1.0,1.0,3,weekday_morning,ok,2051,478,0.01659366795474355,0.7541585078021836,0.17116236223676387,4.069897897565725e-17,4.7586002948398774e-21,0.011109642119057983,0.011751813427292673,0.010863775483330273,0.0036623807803897084
1.0,1.0,3,weekday_evening,ok,2051,478,-0.03140869330467262,0.7081717886833038,0.2203042966008845,8.486825421199603e-15,1.1696182283454595e-20,0.011465780760687175,0.01819451521566531,0.005757398729828624,0.0019144368451166223
1.0,1.0,3,weekend_midday,ok,2051,478,-0.0022559041931313403,0.7184803724892425,0.21713820178789092,4.393195886239744e-18,1.4928422829281898e-21,0.009773220047666873,0.02281383772365106,0.01837078376684981,0.0022571685991530015
1.0,1.0,3,weekend_evening,ok,2051,478,-0.028289880049195776,0.7096352939613241,0.2456914397466205,7.573693121205055e-19,2.4596635693136835e-22,0.012344281398497794,0.019166105482516415,0.00197565281234883,0.003096518477304474
1.0,1.0,4,weekday_morning,ok,2073,456,-0.11012653374448439,0.8363104202041137,0.17556371835315898,0.0002543439471529805,2.6974436774237034e-18,0.01098334156266713,0.003410797961691018,0.0050189820041399765,0.002399888635582907
